Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","991.0701","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","1037.5985","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","1089.5524","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","1141.9995","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","1189.6787","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","1235.7139","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","1287.0101","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","1346.5269","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","1410.3184","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","1461.1215","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","1513.0754","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","1570.126","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","1640.0008","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","1685.707","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","1734.2083","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","1802.2745","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","1845.1858","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","1903.2229","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","1952.7107","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","1990.6896","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","2008.1172","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","2036.3959","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","2068.9493","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","2088.3498","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","2122.2185","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","2162.9925","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","2205.575","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1988","1988","gigagrams","2262.1324","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1989","1989","gigagrams","2329.7053","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1990","1990","gigagrams","2406.9786","Fc","Calculated data"
