Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","143.7685","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","150.3034","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","156.8383","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","163.3732","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","169.9082","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","176.4431","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","182.978","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","189.513","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","196.0479","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","202.5828","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","215.6527","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","222.1876","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","228.7225","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","241.7924","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","254.8623","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","261.3972","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","274.4671","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","287.5369","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","300.6068","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","313.6766","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","320.2116","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1982","1982","gigagrams","339.8164","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1983","1983","gigagrams","352.8862","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1984","1984","gigagrams","365.9561","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1985","1985","gigagrams","392.0958","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1986","1986","gigagrams","411.7006","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1987","1987","gigagrams","431.3054","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1988","1988","gigagrams","405.1657","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1989","1989","gigagrams","392.0958","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1990","1990","gigagrams","522.7944","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1991","1991","gigagrams","555.469","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1992","1992","gigagrams","575.0738","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1993","1993","gigagrams","607.7485","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1994","1994","gigagrams","640.4231","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1995","1995","gigagrams","607.7485","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1996","1996","gigagrams","509.7245","Fc","Calculated data"
