Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","134.0471","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","163.0943","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","197.3054","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","239.4775","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","287.4591","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","343.1865","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","409.457","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","487.7767","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","587.8279","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","677.9817","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","790.2972","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","926.0657","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","1070.871","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","1206.4243","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","1365.0002","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","1578.658","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","1780.9121","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","1979.7236","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","2208.8733","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","2430.7073","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","2652.5413","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","2943.443","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","3189.1603","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","3434.4472","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","3634.1194","Fc","Calculated data"
