Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","176.8023","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","182.3274","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","187.8525","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","193.3776","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","198.9026","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","204.4277","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","212.7153","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","221.0029","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","228.1855","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","232.0531","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","238.9594","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","242.5507","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","240.8932","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","238.9594","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","243.1032","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","248.6283","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","262.441","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","276.2537","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","359.1298","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","442.0059","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","552.5073","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","663.0088","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1988","1988","gigagrams","718.2595","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1989","1989","gigagrams","828.761","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1990","1990","gigagrams","942.025","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1991","1991","gigagrams","979.706","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1992","1992","gigagrams","1018.8942","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1993","1993","gigagrams","1059.6499","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1994","1994","gigagrams","1102.0361","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1995","1995","gigagrams","1146.1173","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1996","1996","gigagrams","1191.9622","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1997","1997","gigagrams","1239.6402","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1998","1998","gigagrams","1289.2253","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","1999","1999","gigagrams","1340.7935","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2000","2000","gigagrams","1394.4247","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2001","2001","gigagrams","1450.2047","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2002","2002","gigagrams","1688.4139","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2003","2003","gigagrams","1568.5407","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2004","2004","gigagrams","1632.6592","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2005","2005","gigagrams","1696.5346","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2006","2006","gigagrams","1764.3957","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2007","2007","gigagrams","1834.9708","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2008","2008","gigagrams","1908.3686","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2009","2009","gigagrams","1984.7046","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2010","2010","gigagrams","2064.0928","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2011","2011","gigagrams","1735.5507","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2012","2012","gigagrams","1804.9727","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2013","2013","gigagrams","1877.1716","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2014","2014","gigagrams","1931.5626","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2015","2015","gigagrams","2035.4966","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","1035","Meat, pig","2016","2016","gigagrams","2067.1985","Fc","Calculated data"
