Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1961","1961","gigagrams","9086.9684","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1962","1962","gigagrams","9313.9273","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1963","1963","gigagrams","9442.4605","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1964","1964","gigagrams","9425.6143","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1965","1965","gigagrams","9594.1346","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1966","1966","gigagrams","10319.8547","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1967","1967","gigagrams","11296.8615","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1968","1968","gigagrams","12099.8902","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1969","1969","gigagrams","12675.1252","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1970","1970","gigagrams","12989.1033","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1971","1971","gigagrams","11330.2421","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1972","1972","gigagrams","13042.8687","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1973","1973","gigagrams","13753.2916","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1974","1974","gigagrams","14626.594","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1975","1975","gigagrams","14546.2476","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1976","1976","gigagrams","14044.3461","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1977","1977","gigagrams","13540.5677","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1978","1978","gigagrams","12870.2485","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1979","1979","gigagrams","12111.6971","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1980","1980","gigagrams","11744.887","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1981","1981","gigagrams","11596.5302","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1982","1982","gigagrams","11264.2635","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1983","1983","gigagrams","10514.2498","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1984","1984","gigagrams","10649.2728","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1985","1985","gigagrams","10813.3291","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1986","1986","gigagrams","11380.5795","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1987","1987","gigagrams","10959.7988","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1988","1988","gigagrams","11055.7722","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1989","1989","gigagrams","10475.168","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1990","1990","gigagrams","10684.0636","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1991","1991","gigagrams","10980.5719","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1992","1992","gigagrams","10906.2125","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1993","1993","gigagrams","11064.4931","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1994","1994","gigagrams","11855.1014","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1995","1995","gigagrams","12310.4053","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1996","1996","gigagrams","11662.5329","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1997","1997","gigagrams","11603.6356","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1998","1998","gigagrams","10875.3908","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","1999","1999","gigagrams","11270.2021","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2000","2000","gigagrams","11421.6026","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2001","2001","gigagrams","11517.1314","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2002","2002","gigagrams","11880.9923","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2003","2003","gigagrams","11668.1718","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2004","2004","gigagrams","11057.5989","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2005","2005","gigagrams","10873.0009","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2006","2006","gigagrams","11006.145","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2007","2007","gigagrams","11039.0367","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2008","2008","gigagrams","10798.2512","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2009","2009","gigagrams","10771.7749","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2010","2010","gigagrams","10428.5382","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2011","2011","gigagrams","10470.4847","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2012","2012","gigagrams","10401.223","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2013","2013","gigagrams","10415.6873","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2014","2014","gigagrams","10445.5232","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2015","2015","gigagrams","10011.0729","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2016","2016","gigagrams","9956.8106","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","867","Meat, cattle","2017","2017","gigagrams","10264.0052","Fc","Calculated data"
