Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","3.3884","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","4.602","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","3.4515","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","4.2185","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","5.9442","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","6.506","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","3.8994","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","5.0622","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","3.9884","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","5.2692","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","2.2082","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","0.6968","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","5.5013","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","6.7266","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","8.4145","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","8.5103","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1977","1977","gigagrams","11.7001","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1978","1978","gigagrams","12.0763","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1979","1979","gigagrams","9.567","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1980","1980","gigagrams","10.5193","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1981","1981","gigagrams","12.8203","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1982","1982","gigagrams","13.8097","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1983","1983","gigagrams","12.1338","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1984","1984","gigagrams","14.3466","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1985","1985","gigagrams","17.2152","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1986","1986","gigagrams","17.9783","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1987","1987","gigagrams","20.8584","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1988","1988","gigagrams","20.5324","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1989","1989","gigagrams","20.6168","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1990","1990","gigagrams","23.0251","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1991","1991","gigagrams","24.9273","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1058","Meat, chicken","1992","1992","gigagrams","26.0778","Fc","Calculated data"
