Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","6148.2081","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","6273.4999","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","6366.4472","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","6409.8464","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","6477.9304","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","6655.2949","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","6793.9237","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","7116.2636","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","7345.0378","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","7397.2634","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","7529.1154","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","6846.9399","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","6654.463","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","6504.923","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","6571.5311","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","6489.4855","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","6396.943","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","6440.2179","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","6381.1166","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","7309.1709","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","7239.0436","Fc","Calculated data"
