Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","6.895","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","6.1563","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","9.85","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","11.0813","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","11.0813","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","11.0813","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","11.0813","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","10.5028","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","9.9524","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","9.85","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","9.85","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","16.0063","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","22.1625","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","12.3125","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","14.775","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","17.2375","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","3.5544","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","6.9423","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","12.0559","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","12.9545","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1981","1981","gigagrams","16.76","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1982","1982","gigagrams","22.839","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1983","1983","gigagrams","37.0599","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1984","1984","gigagrams","56.7274","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1985","1985","gigagrams","105.121","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1986","1986","gigagrams","177.9315","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1987","1987","gigagrams","259.5366","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1988","1988","gigagrams","320.2927","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1989","1989","gigagrams","301.0133","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1990","1990","gigagrams","261.7393","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1991","1991","gigagrams","195.1723","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","131.194","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","86.9263","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","69.9351","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","63.0401","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","56.145","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","52.9438","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","56.145","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","45.8986","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","45.0244","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","40.2373","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","37.6763","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","44.1859","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","34.772","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","35.46","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","32.2669","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","27.5753","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","23.5738","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","20.2489","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","23.463","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","21.1701","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","22.1862","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","19.6944","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","23.9774","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","18.3993","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","27.6748","Fc","Calculated data"
"EI","Emissions intensities","156","New Zealand","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","24.3325","Fc","Calculated data"
