Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1961","3914.3038"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1962","4036.1498"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1963","4157.9959"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1964","4295.0727"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1965","4416.9187"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1966","4416.9187"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1967","4511.3494"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1968","4607.3031"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1969","4706.303"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1970","4806.826"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1971","4908.8721"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1972","5013.9643"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1973","5120.5795"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1974","5230.241"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1975","5341.4255"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1976","5455.6561"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1977","5572.9329"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1978","5690.2097"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1979","5812.0558"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1980","5987.2094"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Milk, whole fresh buffalo","1981","6127.3324"
