Domain,Area,Element,Item,Year,Value
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1961","17.9979"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1962","18.4778"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1963","18.5978"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1964","18.8978"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1965","19.1977"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1966","19.1977"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1967","20.0976"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1968","21.5974"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1969","23.3972"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1970","25.197"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1971","40.4952"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1972","49.1942"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1973","61.0308"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1974","70.7736"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1975","82.0703"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1976","95.1667"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1977","110.357"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1978","127.9709"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1979","148.3984"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1980","158.5072"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1981","164.9985"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1982","176.8771"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1983","189.7815"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1984","206.2376"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1985","223.9835"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1986","192.7992"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1987","208.5413"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1988","219.826"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1989","220.8698"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1990","245.9709"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1991","233.9723"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1992","257.9695"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1993","269.968"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1994","299.9645"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1995","305.9638"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1996","299.9645"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1997","311.9631"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1998","299.9645"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","1999","359.9574"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2000","365.9567"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2001","377.9552"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2002","425.9496"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2003","443.9474"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2004","455.946"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2005","461.9453"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2006","527.9375"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2007","551.9346"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2008","569.9325"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2009","599.929"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2010","629.9254"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2011","683.919"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2012","701.9169"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2013","734.913"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2014","773.9084"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2015","833.5834"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2016","880.9278"
"Emissions intensities","Pakistan","Emissions (CO2eq)","Eggs, hen, in shell","2017","887.8949"
