Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1992","1992","gigagrams","62791.2612","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1993","1993","gigagrams","58901.9089","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1994","1994","gigagrams","53742.518","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1995","1995","gigagrams","45906.471","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1996","1996","gigagrams","42132.3861","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1997","1997","gigagrams","36412.1719","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1998","1998","gigagrams","32197.2581","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","1999","1999","gigagrams","27900.588","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2000","2000","gigagrams","27839.6312","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2001","2001","gigagrams","27723.3096","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2002","2002","gigagrams","28253.9557","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2003","2003","gigagrams","28455.9795","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2004","2004","gigagrams","26705.1989","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2005","2005","gigagrams","24593.4921","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2006","2006","gigagrams","22456.3881","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2007","2007","gigagrams","22664.3096","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2008","2008","gigagrams","22974.7853","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2009","2009","gigagrams","22391.1578","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2010","2010","gigagrams","22433.1867","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2011","2011","gigagrams","21542.4703","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2012","2012","gigagrams","21927.3479","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2013","2013","gigagrams","22149.0169","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2014","2014","gigagrams","21834.3605","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2015","2015","gigagrams","21670.6238","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2016","2016","gigagrams","21471.5753","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","867","Meat, cattle","2017","2017","gigagrams","21320.3151","Fc","Calculated data"
