Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1992","1992","gigagrams","1681.6995","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1993","1993","gigagrams","1719.5105","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1994","1994","gigagrams","1432.0205","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1995","1995","gigagrams","1240.8625","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1996","1996","gigagrams","1030.0696","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1997","1997","gigagrams","882.5023","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1998","1998","gigagrams","793.8267","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","1999","1999","gigagrams","798.9006","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2000","2000","gigagrams","807.5004","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2001","2001","gigagrams","771.5917","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2002","2002","gigagrams","786.0557","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2003","2003","gigagrams","798.695","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2004","2004","gigagrams","712.4226","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2005","2005","gigagrams","757.3016","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2006","2006","gigagrams","772.3785","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2007","2007","gigagrams","789.3556","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2008","2008","gigagrams","808.8797","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2009","2009","gigagrams","845.7096","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2010","2010","gigagrams","898.4732","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2011","2011","gigagrams","939.1815","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2012","2012","gigagrams","994.2088","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2013","2013","gigagrams","1032.5236","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2014","2014","gigagrams","1038.8337","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2015","2015","gigagrams","1097.415","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2016","2016","gigagrams","1128.3422","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1058","Meat, chicken","2017","2017","gigagrams","1148.0779","Fc","Calculated data"
