Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1992","1992","gigagrams","59705.3697","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1993","1993","gigagrams","58774.848","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1994","1994","gigagrams","57359.9938","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1995","1995","gigagrams","53474.6888","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1996","1996","gigagrams","48957.2086","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1997","1997","gigagrams","44664.7449","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1998","1998","gigagrams","40915.1594","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1999","1999","gigagrams","38906.2734","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2000","2000","gigagrams","37761.9713","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2001","2001","gigagrams","36352.7351","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2002","2002","gigagrams","35107.687","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2003","2003","gigagrams","33170.7678","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2004","2004","gigagrams","30824.5936","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2005","2005","gigagrams","28525.4215","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2006","2006","gigagrams","27475.5021","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2007","2007","gigagrams","26950.3413","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2008","2008","gigagrams","26400.0857","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2009","2009","gigagrams","25845.7585","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2010","2010","gigagrams","24693.2275","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2011","2011","gigagrams","24059.6064","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2012","2012","gigagrams","23857.9283","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2013","2013","gigagrams","22963.7345","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2014","2014","gigagrams","22391.338","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2015","2015","gigagrams","21769.3521","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2016","2016","gigagrams","21289.1119","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2017","2017","gigagrams","20826.799","Fc","Calculated data"
