Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1992","1992","gigagrams","2384.3247","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1993","1993","gigagrams","2259.7718","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1994","1994","gigagrams","2175.4329","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1995","1995","gigagrams","1986.8115","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1996","1996","gigagrams","1831.136","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1997","1997","gigagrams","1701.3646","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1998","1998","gigagrams","1845.3455","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1999","1999","gigagrams","1771.6197","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2000","2000","gigagrams","1619.6286","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2001","2001","gigagrams","1613.3413","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2002","2002","gigagrams","1627.6765","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2003","2003","gigagrams","1607.0539","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2004","2004","gigagrams","1836.3546","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2005","2005","gigagrams","1692.185","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2006","2006","gigagrams","1830.4696","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2007","2007","gigagrams","1685.6964","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2008","2008","gigagrams","1749.9408","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2009","2009","gigagrams","1820.0577","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2010","2010","gigagrams","1951.2124","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2011","2011","gigagrams","2011.6844","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2012","2012","gigagrams","2104.1717","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2013","2013","gigagrams","2217.0302","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2014","2014","gigagrams","2216.1374","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2015","2015","gigagrams","2361.0614","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2016","2016","gigagrams","2450.0185","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","2017","2017","gigagrams","2476.0419","Fc","Calculated data"
