Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1992","1992","gigagrams","545.4341","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1993","1993","gigagrams","563.3067","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1994","1994","gigagrams","452.2223","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1995","1995","gigagrams","459.9429","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1996","1996","gigagrams","420.727","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1997","1997","gigagrams","351.9471","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1998","1998","gigagrams","304.8736","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","1999","1999","gigagrams","274.7947","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2000","2000","gigagrams","263.6398","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2001","2001","gigagrams","243.0863","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2002","2002","gigagrams","271.3682","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2003","2003","gigagrams","286.9113","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2004","2004","gigagrams","304.6885","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2005","2005","gigagrams","301.9555","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2006","2006","gigagrams","277.5854","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2007","2007","gigagrams","292.6301","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2008","2008","gigagrams","296.1333","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2009","2009","gigagrams","305.3494","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2010","2010","gigagrams","305.1872","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2011","2011","gigagrams","292.9677","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2012","2012","gigagrams","308.9591","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2013","2013","gigagrams","322.8988","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2014","2014","gigagrams","310.0777","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2015","2015","gigagrams","316.8129","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2016","2016","gigagrams","332.6683","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1017","Meat, goat","2017","2017","gigagrams","314.3256","Fc","Calculated data"
