Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1992","1992","gigagrams","6828.4027","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1993","1993","gigagrams","6082.6181","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1994","1994","gigagrams","5510.8041","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1995","1995","gigagrams","4797.1896","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1996","1996","gigagrams","4367.2147","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1997","1997","gigagrams","3688.7802","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1998","1998","gigagrams","3347.8454","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","1999","1999","gigagrams","3328.5476","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2000","2000","gigagrams","3539.4364","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2001","2001","gigagrams","3053.7651","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2002","2002","gigagrams","3131.4494","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2003","2003","gigagrams","3396.5286","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2004","2004","gigagrams","3141.3332","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2005","2005","gigagrams","2647.1177","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2006","2006","gigagrams","2665.3621","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2007","2007","gigagrams","3123.3292","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2008","2008","gigagrams","3153.2666","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2009","2009","gigagrams","3118.8883","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2010","2010","gigagrams","3325.2007","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2011","2011","gigagrams","3322.6733","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2012","2012","gigagrams","3330.4769","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2013","2013","gigagrams","3631.1486","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2014","2014","gigagrams","3682.2982","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2015","2015","gigagrams","3771.9724","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2016","2016","gigagrams","4150.3534","Fc","Calculated data"
"EI","Emissions intensities","185","Russian Federation","7231","Emissions (CO2eq)","1035","Meat, pig","2017","2017","gigagrams","4250.8677","Fc","Calculated data"
