Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1961","1961","gigagrams","54.2577","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1962","1962","gigagrams","54.2577","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1963","1963","gigagrams","56.5185","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1964","1964","gigagrams","58.7792","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1965","1965","gigagrams","47.4755","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1966","1966","gigagrams","49.7363","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1967","1967","gigagrams","47.4755","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1968","1968","gigagrams","45.2148","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1969","1969","gigagrams","40.6933","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1970","1970","gigagrams","51.997","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1971","1971","gigagrams","67.8222","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1972","1972","gigagrams","81.3866","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1973","1973","gigagrams","97.2118","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1974","1974","gigagrams","47.9277","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1975","1975","gigagrams","49.7363","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1976","1976","gigagrams","54.2577","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1977","1977","gigagrams","58.7792","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1978","1978","gigagrams","63.3007","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1979","1979","gigagrams","63.3007","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1980","1980","gigagrams","63.3007","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1981","1981","gigagrams","63.3007","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1982","1982","gigagrams","65.5614","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1983","1983","gigagrams","67.8222","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1984","1984","gigagrams","72.3436","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1985","1985","gigagrams","81.3866","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1986","1986","gigagrams","90.4295","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1058","Meat, chicken","1987","1987","gigagrams","99.4725","Fc","Calculated data"
