Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","1644.111","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","1594.7877","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","1529.0233","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","1397.4944","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","1561.9055","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","1644.111","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","1726.3166","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","1808.5221","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","1808.5221","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","2129.1238","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","1882.0928","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","1882.3181","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","1696.7768","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","1806.4719","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","1522.7592","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","1500.6574","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","1483.7921","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","1564.1168","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","1458.4449","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","1364.6122","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","1381.0533","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","1430.3766","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","1496.141","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","1430.3766","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","1233.0833","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","1512.5822","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","1397.4944","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1988","1988","gigagrams","1413.9355","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1989","1989","gigagrams","1249.5244","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1990","1990","gigagrams","1265.9655","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1991","1991","gigagrams","1463.2588","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1992","1992","gigagrams","1265.9655","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1993","1993","gigagrams","1348.171","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1994","1994","gigagrams","1183.7599","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1995","1995","gigagrams","1348.171","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1996","1996","gigagrams","1348.171","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1997","1997","gigagrams","1298.8477","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1998","1998","gigagrams","1298.8477","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1999","1999","gigagrams","1249.5244","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2000","2000","gigagrams","1627.6699","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2001","2001","gigagrams","1627.6699","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2002","2002","gigagrams","1397.4944","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2003","2003","gigagrams","1298.8477","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2004","2004","gigagrams","1265.9655","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2005","2005","gigagrams","1348.171","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2006","2006","gigagrams","1315.2888","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2007","2007","gigagrams","1298.8477","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2008","2008","gigagrams","1611.2288","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2009","2009","gigagrams","1644.111","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2010","2010","gigagrams","1644.111","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2011","2011","gigagrams","1594.7877","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2012","2012","gigagrams","1529.0233","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2013","2013","gigagrams","1627.6699","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2014","2014","gigagrams","1561.9055","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2015","2015","gigagrams","1553.6849","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2016","2016","gigagrams","1660.5521","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2017","2017","gigagrams","1561.9055","Fc","Calculated data"
