Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1961","1961","gigagrams","412.1705","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1962","1962","gigagrams","414.3805","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1963","1963","gigagrams","406.0929","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1964","1964","gigagrams","400.5678","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1965","1965","gigagrams","386.7551","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1966","1966","gigagrams","353.6047","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1967","1967","gigagrams","346.8401","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1968","1968","gigagrams","370.1489","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1969","1969","gigagrams","396.424","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1970","1970","gigagrams","376.81","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1971","1971","gigagrams","332.8857","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1972","1972","gigagrams","345.8696","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1973","1973","gigagrams","361.6161","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1974","1974","gigagrams","361.8923","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1975","1975","gigagrams","365.4836","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1976","1976","gigagrams","370.1799","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1977","1977","gigagrams","383.4401","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1978","1978","gigagrams","406.0929","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1979","1979","gigagrams","373.495","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1980","1980","gigagrams","364.1023","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1981","1981","gigagrams","372.3899","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1982","1982","gigagrams","387.0314","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1983","1983","gigagrams","408.3029","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1984","1984","gigagrams","371.8374","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1985","1985","gigagrams","375.9812","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1986","1986","gigagrams","377.3625","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1987","1987","gigagrams","375.705","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1988","1988","gigagrams","394.214","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1989","1989","gigagrams","421.0106","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1990","1990","gigagrams","423.2206","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1991","1991","gigagrams","425.1544","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1992","1992","gigagrams","422.3946","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1993","1993","gigagrams","412.3528","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1994","1994","gigagrams","417.4524","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1995","1995","gigagrams","449.737","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1996","1996","gigagrams","442.718","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1997","1997","gigagrams","446.8139","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1998","1998","gigagrams","453.3461","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","1999","1999","gigagrams","422.9164","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2000","2000","gigagrams","429.739","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2001","2001","gigagrams","439.7958","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2002","2002","gigagrams","459.4099","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2003","2003","gigagrams","459.1336","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2004","2004","gigagrams","456.0948","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2005","2005","gigagrams","457.4761","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2006","2006","gigagrams","459.2051","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2007","2007","gigagrams","456.2037","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2008","2008","gigagrams","446.08","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2009","2009","gigagrams","445.7037","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2010","2010","gigagrams","440.4849","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2011","2011","gigagrams","437.4682","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2012","2012","gigagrams","436.2045","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2013","2013","gigagrams","434.7407","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2014","2014","gigagrams","431.6248","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2015","2015","gigagrams","420.6554","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2016","2016","gigagrams","417.8204","Fc","Calculated data"
"EI","Emissions intensities","202","South Africa","7231","Emissions (CO2eq)","1035","Meat, pig","2017","2017","gigagrams","409.0872","Fc","Calculated data"
