Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","5767.3889","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","5944.8852","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","5974.1836","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","6089.1734","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","5998.8203","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","6296.3977","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","6574.8233","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","6769.7213","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","7115.7646","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","7266.91","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","7402.1453","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","7437.9429","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","7696.4969","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","7366.3477","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1975","1975","gigagrams","7203.2698","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1976","1976","gigagrams","7247.0224","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1977","1977","gigagrams","7756.1437","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1978","1978","gigagrams","7756.1437","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1979","1979","gigagrams","7199.2923","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1980","1980","gigagrams","7366.3477","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1981","1981","gigagrams","7370.3252","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1982","1982","gigagrams","8082.2995","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1983","1983","gigagrams","7481.6955","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1984","1984","gigagrams","7505.8151","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1985","1985","gigagrams","7521.4706","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1986","1986","gigagrams","7783.9862","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1987","1987","gigagrams","7131.6747","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1988","1988","gigagrams","6952.6867","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1989","1989","gigagrams","7087.9221","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1990","1990","gigagrams","6316.2852","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1991","1991","gigagrams","6228.78","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1992","1992","gigagrams","5783.2989","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1993","1993","gigagrams","5484.9857","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1994","1994","gigagrams","5321.9078","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1995","1995","gigagrams","5138.9424","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1996","1996","gigagrams","5130.9873","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1997","1997","gigagrams","5013.6906","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1998","1998","gigagrams","5091.2123","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1999","1999","gigagrams","4800.8541","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2000","2000","gigagrams","4538.3384","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2001","2001","gigagrams","4701.3606","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2002","2002","gigagrams","4590.046","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2003","2003","gigagrams","4445.5431","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2004","2004","gigagrams","4203.9094","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2005","2005","gigagrams","4025.2397","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2006","2006","gigagrams","3748.1863","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2007","2007","gigagrams","3848.0377","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2008","2008","gigagrams","3592.8327","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2009","2009","gigagrams","3533.2218","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2010","2010","gigagrams","3294.5712","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2011","2011","gigagrams","3173.6549","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2012","2012","gigagrams","3290.1959","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2013","2013","gigagrams","3407.9302","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2014","2014","gigagrams","3360.2001","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2015","2015","gigagrams","3357.4715","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2016","2016","gigagrams","3256.2717","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","2017","2017","gigagrams","3261.5578","Fc","Calculated data"
