Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1961","1961","gigagrams","317.0022","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1962","1962","gigagrams","332.1829","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1963","1963","gigagrams","391.819","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1964","1964","gigagrams","377.7835","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1965","1965","gigagrams","339.3474","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1966","1966","gigagrams","383.5387","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1967","1967","gigagrams","387.4146","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1968","1968","gigagrams","396.7619","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1969","1969","gigagrams","400.6279","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1970","1970","gigagrams","417.2181","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1971","1971","gigagrams","435.5993","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1972","1972","gigagrams","466.4792","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1973","1973","gigagrams","365.4119","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1974","1974","gigagrams","392.4945","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1975","1975","gigagrams","460.0193","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1976","1976","gigagrams","474.7008","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1977","1977","gigagrams","507.7439","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1978","1978","gigagrams","476.1201","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1979","1979","gigagrams","481.4837","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1980","1980","gigagrams","507.7634","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1981","1981","gigagrams","503.6038","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1982","1982","gigagrams","527.2506","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1983","1983","gigagrams","524.1382","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1984","1984","gigagrams","478.8703","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1985","1985","gigagrams","479.6925","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1986","1986","gigagrams","494.3446","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1987","1987","gigagrams","487.0234","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1988","1988","gigagrams","491.3887","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1062","Eggs, hen, in shell","1989","1989","gigagrams","464.2671","Fc","Calculated data"
