Domain,Area,Element,Item,Year,Value
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1961","16203.683"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1962","12816.2285"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1963","12634.6342"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1964","12349.8604"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1965","12435.7715"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1966","12393.9269"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1967","12555.4159"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1968","12608.7086"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1969","12800.3595"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1970","12700.4822"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1971","12661.6093"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1972","13015.2142"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1973","13414.2658"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1974","13048.2786"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1975","12997.3846"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1976","12463.0349"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1977","12755.1973"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Milk, whole fresh cow","1978","13039.6713"
