Domain,Area,Element,Item,Year,Value
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1961","1496.1825"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1962","1664.1903"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1963","1697.523"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1964","1826.1536"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1965","1974.5124"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1966","1814.3855"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1967","1733.7191"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1968","1827.5818"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1969","1925.6203"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1970","2000.9809"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1971","2158.4398"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1972","2132.6564"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1973","2221.653"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1974","2114.0014"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1975","1863.9397"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1976","1964.605"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1977","2019.9808"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1978","1916.6456"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1979","1974.2463"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1980","1931.4784"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1981","1920.8482"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1982","1983.3932"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1983","2020.7224"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1984","1900.8239"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1985","1944.3335"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1986","1962.1328"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1987","1963.6161"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1988","1973.2574"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1989","1856.3255"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1990","1841.7399"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1991","1878.0803"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1992","1905.2738"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1993","1941.3669"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1994","1951.0082"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1995","1885.4967"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1996","1876.3498"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1997","1995.5067"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1998","2013.8004"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","1999","1800.7025"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2000","1602.4373"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2001","1444.9624"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2002","1381.4285"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2003","1247.6366"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2004","1275.7695"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2005","1202.3471"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2006","1219.5038"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2007","1195.0296"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2008","1165.364"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2009","1122.3489"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2010","1102.5718"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2011","1097.8748"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2012","1107.7633"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2013","1207.6375"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2014","1190.3326"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2015","1171.5444"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2016","1202.9405"
"Emissions intensities","United Kingdom of Great Britain and Northern Ireland","Emissions (CO2eq)","Meat, pig","2017","1228.4034"
