Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1961","2316.5843"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1962","2341.4659"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1963","2330.8605"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1964","2351.6339"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1965","2350.9838"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1966","2372.6871"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1967","2449.8801"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1968","2419.4793"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1969","2396.5349"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1970","2443.6727"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1971","2442.3994"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1972","2377.9348"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1973","2269.2605"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1974","2223.5298"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1975","2170.9601"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1976","2140.7766"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1977","2146.5544"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1978","2198.634"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1979","2253.9168"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1980","2246.7475"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1981","2247.2863"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1982","2236.3144"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1983","2157.3946"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1984","2170.6468"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1985","2167.773"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1986","2179.1276"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1987","2216.8148"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1988","2175.5432"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1989","2111.7263"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1990","2115.873"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1991","2151.0535"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1992","2177.394"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1993","2223.8275"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1994","2272.7522"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1995","2298.6397"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1996","2329.2518"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1997","2370.9061"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1998","2438.9321"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","1999","2524.3335"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2000","2569.7519"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2001","2626.4701"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2002","2649.6088"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2003","2644.033"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2004","2673.833"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2005","2694.3868"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2006","2730.8792"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2007","2705.8741"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2008","2654.6067"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2009","2646.1181"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2010","2666.8828"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2011","2659.7998"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2012","2692.9577"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2013","2771.0498"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2014","2848.072"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2015","2752.05"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2016","2858.1458"
"Emissions intensities","United States of America","Emissions (CO2eq)","Eggs, hen, in shell","2017","2935.0509"
