Domain,Area,Element,Item,Year,Value
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1961","17494.6338"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1962","19471.1269"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1963","19751.0511"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1964","19541.3422"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1965","17666.5573"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1966","15907.3352"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1967","17987.4207"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1968","18520.507"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1969","19153.7297"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1970","17962.5428"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1971","21186.5834"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1972","19652.1793"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1973","18583.1703"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1974","19086.0283"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1975","17221.6369"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1976","15513.1077"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1977","17297.52"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1978","17802.9021"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1979","19004.7897"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1980","21196.9718"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1981","20297.6796"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1982","18482.7216"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1983","17171.5687"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1984","17851.7057"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1985","17026.4124"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1986","16472.5391"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1987","16033.5988"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1988","17124.337"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1989","17465.0352"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1990","16936.6696"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1991","18152.4143"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1992","18326.542"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1993","18243.918"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1994","18810.0375"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1995","18326.0697"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1996","17672.1621"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1997","19257.2276"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1998","19586.5272"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","1999","18683.3935"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2000","18612.5459"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2001","18805.0309"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2002","18752.3203"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2003","19035.3958"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2004","19032.4045"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2005","19199.6993"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2006","19348.9201"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2007","19684.8637"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2008","21467.3892"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2009","20431.5659"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2010","20443.4683"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2011","20895.5704"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2012","20852.4951"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2013","20396.1106"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2014","21341.2805"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2015","21701.1863"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2016","22528.088"
"Emissions intensities","United States of America","Emissions (CO2eq)","Meat, pig","2017","23116.7528"
